event,channel,band,n_epochs,absolute_power_uv2_per_hz,relative_power
S_9,P3,beta_13_30Hz,4,4.305132084627335,0.19055433047885317
S_9,P7,delta_1_4Hz,4,5.439193972864356,0.20992468258340258
S_9,P7,theta_4_8Hz,4,2.1693566986640156,0.09257054628616618
S_9,P7,alpha_8_13Hz,4,0.7002095887406793,0.02990400016722823
S_9,P7,beta_13_30Hz,4,6.1336444404091655,0.31946935698292817
S_9,O1,delta_1_4Hz,4,4.282229969305991,0.11879242273468288
S_9,O1,theta_4_8Hz,4,2.253944599467014,0.06903080511111828
S_9,O1,alpha_8_13Hz,4,1.4426349657727022,0.04845953927588175
S_9,O1,beta_13_30Hz,4,9.889913713570396,0.3589333718965936
S_9,Oz,delta_1_4Hz,4,4.9610351971894,0.15159138236087594
S_9,Oz,theta_4_8Hz,4,2.537435019241341,0.09036567042889913
S_9,Oz,alpha_8_13Hz,4,1.9525650423676113,0.07256553186541087
S_9,Oz,beta_13_30Hz,4,6.95132927390482,0.24248949357448193
S_9,O2,delta_1_4Hz,4,6.4070012626951565,0.14437848531707997
S_9,O2,theta_4_8Hz,4,2.4532859582234514,0.05455049919454274
S_9,O2,alpha_8_13Hz,4,3.347120314998876,0.07364898866549154
S_9,O2,beta_13_30Hz,4,15.036534604701782,0.2931778533358464
S_9,P4,delta_1_4Hz,4,4.603777913689553,0.28069810048978605
S_9,P4,theta_4_8Hz,4,0.8554213443143959,0.05817177837654586
S_9,P4,alpha_8_13Hz,4,1.2204494731466378,0.08438148610801646
S_9,P4,beta_13_30Hz,4,3.8509919972985402,0.25123437345462396
S_9,P8,delta_1_4Hz,4,8.942680781448317,0.33891742131236763
S_9,P8,theta_4_8Hz,4,1.5316786104755262,0.06550510790886974
S_9,P8,alpha_8_13Hz,4,1.1625421365543815,0.04905857373921343
S_9,P8,beta_13_30Hz,4,4.464049514729741,0.19952307224472787
S_9,TP10,delta_1_4Hz,4,6.762649238839404,0.1381302372017017
S_9,TP10,theta_4_8Hz,4,2.413052369653503,0.05179837683883243
S_9,TP10,alpha_8_13Hz,4,0.8058859909295248,0.01849256897960917
S_9,TP10,beta_13_30Hz,4,19.37436490028422,0.42850773772482603
S_9,CP6,delta_1_4Hz,4,4.236341184153957,0.23494658428828386
S_9,CP6,theta_4_8Hz,4,1.1400451682759272,0.06906806743077756
S_9,CP6,alpha_8_13Hz,4,0.9283694191397098,0.05772052395232079
S_9,CP6,beta_13_30Hz,4,5.888106997714953,0.34062384478029883
S_9,CP2,delta_1_4Hz,4,2.8646553928668297,0.22117171217199627
S_9,CP2,theta_4_8Hz,4,1.3879518610345813,0.10364053191412662
S_9,CP2,alpha_8_13Hz,4,1.1496709452798894,0.0886389752005792
S_9,CP2,beta_13_30Hz,4,3.1247771326135587,0.24026204565800216
S_9,Cz,delta_1_4Hz,4,3.514191225240159,0.23826347372584278
S_9,Cz,theta_4_8Hz,4,1.8065621329217747,0.1398261364873036
S_9,Cz,alpha_8_13Hz,4,1.3836222883628062,0.09154590340191142
S_9,Cz,beta_13_30Hz,4,2.3581769729025632,0.17240775038911485
S_9,C4,delta_1_4Hz,4,3.320198761546596,0.1898171804275532
S_9,C4,theta_4_8Hz,4,1.4257118965760571,0.08156773435524498
S_9,C4,alpha_8_13Hz,4,1.611270382026392,0.08278739669582055
S_9,C4,beta_13_30Hz,4,5.31714689484354,0.3041134305256602
S_9,T8,delta_1_4Hz,4,7.578636754611612,0.18159873468989515
S_9,T8,theta_4_8Hz,4,1.4120474489496406,0.039285951954308757
S_9,T8,alpha_8_13Hz,4,1.0272407596214974,0.030572148343750688
S_9,T8,beta_13_30Hz,4,17.126852508005822,0.4639491931935448
S_9,FT10,delta_1_4Hz,4,19.818405123157536,0.4360148619065678
S_9,FT10,theta_4_8Hz,4,2.176927854134037,0.057470360081424886
S_9,FT10,alpha_8_13Hz,4,0.8097629884888664,0.020624182907777858
S_9,FT10,beta_13_30Hz,4,8.395738813672546,0.20395765031632992
S_9,FC6,delta_1_4Hz,4,6.8542421224936865,0.288374082785934
S_9,FC6,theta_4_8Hz,4,2.246421493797443,0.09596171882896419
S_9,FC6,alpha_8_13Hz,4,0.3981069046321265,0.017862692723630714
S_9,FC6,beta_13_30Hz,4,7.775101899744575,0.3257297996649386
S_9,FC2,delta_1_4Hz,4,3.704995393047311,0.21927682954776678
S_9,FC2,theta_4_8Hz,4,2.055634638273172,0.1183256767229556
S_9,FC2,alpha_8_13Hz,4,0.8994648627682419,0.053764226343654485
S_9,FC2,beta_13_30Hz,4,5.12732316073229,0.2803989803299132
S_9,F4,delta_1_4Hz,4,7.217969316292331,0.21950142178881224
S_9,F4,theta_4_8Hz,4,4.968896923745664,0.12231401513202514
S_9,F4,alpha_8_13Hz,4,1.4657209303118048,0.04126957686077195
S_9,F4,beta_13_30Hz,4,9.38737345538773,0.31459319355823656
S_9,F8,delta_1_4Hz,4,35.55134678029507,0.45599932200989324
S_9,F8,theta_4_8Hz,4,5.602071187103424,0.07637970412699052
S_9,F8,alpha_8_13Hz,4,0.9718550521375513,0.010659893015509792
S_9,F8,beta_13_30Hz,4,11.787442451244246,0.17830500965976842
S_9,Fp2,delta_1_4Hz,4,98.37299963598687,0.3667955342325261
S_9,Fp2,theta_4_8Hz,4,16.432606793784732,0.053411505193340356
S_9,Fp2,alpha_8_13Hz,4,4.081827116378405,0.04334062960186336
S_9,Fp2,beta_13_30Hz,4,8.125228718706714,0.25156850448800433
S_10,Fp1,delta_1_4Hz,4,99.00916570414441,0.417913273752228
S_10,Fp1,theta_4_8Hz,4,16.48838097087688,0.10166498422455222
S_10,Fp1,alpha_8_13Hz,4,2.7493291709016012,0.039257052434195513
S_10,Fp1,beta_13_30Hz,4,6.887878771147481,0.09124324017790936
S_10,F3,delta_1_4Hz,4,11.66283092762359,0.318793153626001
S_10,F3,theta_4_8Hz,4,2.359287920895918,0.07148149165774585
S_10,F3,alpha_8_13Hz,4,1.1385499581027407,0.038803172596776014
S_10,F3,beta_13_30Hz,4,10.790732773028163,0.3105429172882319
S_10,F7,delta_1_4Hz,4,31.23460506402567,0.43533393933656533
S_10,F7,theta_4_8Hz,4,4.323588027981675,0.06377760134100897
S_10,F7,alpha_8_13Hz,4,3.140305689170984,0.04780552919122537
S_10,F7,beta_13_30Hz,4,10.593030436756937,0.16174423210682698
S_10,FT9,delta_1_4Hz,4,13.271157520615663,0.3565717222247924
S_10,FT9,theta_4_8Hz,4,3.2890292983692944,0.09871532118868372
S_10,FT9,alpha_8_13Hz,4,1.2595904034196266,0.038002017779285906
S_10,FT9,beta_13_30Hz,4,5.799644174547964,0.1709711883377378
S_10,FC5,delta_1_4Hz,4,7.842126157117143,0.28183477025407716
S_10,FC5,theta_4_8Hz,4,1.6539874844470082,0.06012647511135551
S_10,FC5,alpha_8_13Hz,4,0.8856919423606818,0.03622818475957075
S_10,FC5,beta_13_30Hz,4,8.660838113547998,0.35408195942958653
S_10,FC1,delta_1_4Hz,4,3.5779672777326836,0.2204717026789971
S_10,FC1,theta_4_8Hz,4,1.4920136965890411,0.09259017434954425
S_10,FC1,alpha_8_13Hz,4,0.36372336637466507,0.022888173128807643
S_10,FC1,beta_13_30Hz,4,6.6805393481283675,0.39084249983410463
S_10,C3,delta_1_4Hz,4,5.140889586738173,0.28075708133628674
S_10,C3,theta_4_8Hz,4,1.1777038630935575,0.061020102089974805
S_10,C3,alpha_8_13Hz,4,0.6057310437882918,0.03465560153878867
S_10,C3,beta_13_30Hz,4,5.6792038835436305,0.3235509693145039
S_10,T7,delta_1_4Hz,4,5.054085064156374,0.16152819217277165
S_10,T7,theta_4_8Hz,4,1.2004202569959292,0.03878610669522128
S_10,T7,alpha_8_13Hz,4,0.9720500265636021,0.02950334612188345
S_10,T7,beta_13_30Hz,4,15.488406530552863,0.4638331371663129
S_10,TP9,delta_1_4Hz,4,8.858326755687552,0.2528934881041837
S_10,TP9,theta_4_8Hz,4,2.1266632595024375,0.07105634291851257
S_10,TP9,alpha_8_13Hz,4,0.9331626192305295,0.030489815186547267
S_10,TP9,beta_13_30Hz,4,9.10561450548815,0.2919543122504672
S_10,CP5,delta_1_4Hz,4,6.454707469959338,0.2828160643047749
S_10,CP5,theta_4_8Hz,4,1.9166735682585045,0.08866344119236629
S_10,CP5,alpha_8_13Hz,4,0.6270035877334375,0.028437201434774843
S_10,CP5,beta_13_30Hz,4,5.055558503298793,0.265863063204712
S_10,CP1,delta_1_4Hz,4,3.93511551899469,0.26531354693540965
S_10,CP1,theta_4_8Hz,4,1.5345513510845863,0.10521663077834074
S_10,CP1,alpha_8_13Hz,4,0.9921646504388874,0.060133630107186274
S_10,CP1,beta_13_30Hz,4,3.593021553284879,0.24111080777466085
S_10,Pz,delta_1_4Hz,4,3.916746006311131,0.20873588848948263
S_10,Pz,theta_4_8Hz,4,2.561727980300863,0.14646388725716492
S_10,Pz,alpha_8_13Hz,4,1.5233723359078088,0.07397797259513322
S_10,Pz,beta_13_30Hz,4,3.568459654454687,0.20515033875652122
S_10,P3,delta_1_4Hz,4,10.38987107942713,0.3116101290706348
S_10,P3,theta_4_8Hz,4,2.9743514856110886,0.10283062395567255
S_10,P3,alpha_8_13Hz,4,0.8427774559169059,0.049593093942292346
S_10,P3,beta_13_30Hz,4,4.223107634221522,0.19181736881205574
S_10,P7,delta_1_4Hz,4,4.115050120808365,0.1918351554810569
S_10,P7,theta_4_8Hz,4,1.6290649733481115,0.08018709445757749
S_10,P7,alpha_8_13Hz,4,1.357669313934141,0.0662030950062827
S_10,P7,beta_13_30Hz,4,7.342269438415507,0.32027921954402094
S_10,O1,delta_1_4Hz,4,4.863433234273401,0.1297570788963494
S_10,O1,theta_4_8Hz,4,3.9940568496331985,0.11434517670493644
S_10,O1,alpha_8_13Hz,4,2.877733331401931,0.06621244872140214
S_10,O1,beta_13_30Hz,4,10.156009329043545,0.25532392214700883
S_10,Oz,delta_1_4Hz,4,5.937720416051509,0.14669924974986678
S_10,Oz,theta_4_8Hz,4,4.0981313588656745,0.11013313484535459
S_10,Oz,alpha_8_13Hz,4,1.81720150370043,0.04647577476505313
S_10,Oz,beta_13_30Hz,4,11.394450444323374,0.29680389463531953
S_10,O2,delta_1_4Hz,4,8.87947466229767,0.1395917789998259
S_10,O2,theta_4_8Hz,4,4.972655684207781,0.08010937874010057
S_10,O2,alpha_8_13Hz,4,2.759050405240819,0.04320569752351526
S_10,O2,beta_13_30Hz,4,22.11460458270235,0.3463149100903012
S_10,P4,delta_1_4Hz,4,5.076823637959819,0.26629707752247134
S_10,P4,theta_4_8Hz,4,1.656914001316055,0.08891679809723893
S_10,P4,alpha_8_13Hz,4,1.3962796101320025,0.08365956930114646
S_10,P4,beta_13_30Hz,4,3.4686406705306676,0.21454848942677363
S_10,P8,delta_1_4Hz,4,7.785622770048607,0.25014824631378346
S_10,P8,theta_4_8Hz,4,2.5060879917734256,0.08211456701224547
S_10,P8,alpha_8_13Hz,4,0.9870942325844051,0.04042014955403814
S_10,P8,beta_13_30Hz,4,8.088238925681908,0.27965525176195843
S_10,TP10,delta_1_4Hz,4,8.851416829070969,0.15666091248510916
S_10,TP10,theta_4_8Hz,4,2.389940440310237,0.05054760526492923
S_10,TP10,alpha_8_13Hz,4,1.1141938533868088,0.02120262740477347
S_10,TP10,beta_13_30Hz,4,15.995949812418182,0.3137495198691643
S_10,CP6,delta_1_4Hz,4,6.004619269608235,0.287153773504589
S_10,CP6,theta_4_8Hz,4,1.52111007590651,0.07074494330698541
S_10,CP6,alpha_8_13Hz,4,0.8869645442840567,0.046370533831398754
S_10,CP6,beta_13_30Hz,4,5.322608363150347,0.278280054960322
S_10,CP2,delta_1_4Hz,4,4.770169679426111,0.28944647376475025
S_10,CP2,theta_4_8Hz,4,1.3769641553115273,0.08738098986231754
S_10,CP2,alpha_8_13Hz,4,1.5429148963840373,0.08520541310349974
S_10,CP2,beta_13_30Hz,4,3.180303077064765,0.1990990768275978
S_10,Cz,delta_1_4Hz,4,3.2718129655942265,0.20338902183362265
S_10,Cz,theta_4_8Hz,4,3.0604117533379047,0.1938520965584897
S_10,Cz,alpha_8_13Hz,4,0.5675051558523098,0.0420592073641535
S_10,Cz,beta_13_30Hz,4,2.550592350158315,0.18189703903505147
S_10,C4,delta_1_4Hz,4,3.9127933087660587,0.17420004752725232
S_10,C4,theta_4_8Hz,4,1.5526259285120148,0.07685315120274057
S_10,C4,alpha_8_13Hz,4,0.8402027247122503,0.04551751783751935
S_10,C4,beta_13_30Hz,4,9.888215201762497,0.3756062101538049
S_10,T8,delta_1_4Hz,4,3.6878105021359606,0.08979712086832282
S_10,T8,theta_4_8Hz,4,0.8859412906989246,0.02123760761011805
S_10,T8,alpha_8_13Hz,4,0.6227609482236361,0.015524262103010979
S_10,T8,beta_13_30Hz,4,26.21512082986623,0.6086896691623942
S_10,FT10,delta_1_4Hz,4,15.204078253974425,0.4102497392744371
S_10,FT10,theta_4_8Hz,4,1.4956635775591476,0.04186321957059181
S_10,FT10,alpha_8_13Hz,4,0.7030924951502293,0.020290465801779865
S_10,FT10,beta_13_30Hz,4,9.50645268778107,0.26949702689764243
S_10,FC6,delta_1_4Hz,4,8.913508678756797,0.30211709284856686
S_10,FC6,theta_4_8Hz,4,2.093134607835628,0.06973254983010096
S_10,FC6,alpha_8_13Hz,4,0.47222678375971217,0.0180548416383066
S_10,FC6,beta_13_30Hz,4,9.845829738694272,0.3306300089973515
S_10,FC2,delta_1_4Hz,4,2.5222238560101715,0.20155475227212905
S_10,FC2,theta_4_8Hz,4,1.8601645282836803,0.15372822298360175
S_10,FC2,alpha_8_13Hz,4,0.4151064556498034,0.036910131874873416
S_10,FC2,beta_13_30Hz,4,3.3531422923922336,0.2430613400524575
S_10,F4,delta_1_4Hz,4,11.339953762639643,0.3790942494450428
S_10,F4,theta_4_8Hz,4,2.6460172859328743,0.08219477160099209
S_10,F4,alpha_8_13Hz,4,0.7761309331298087,0.02535227780419718
S_10,F4,beta_13_30Hz,4,7.153329631400195,0.23368384481554777
S_10,F8,delta_1_4Hz,4,29.450501961118277,0.45188721608482224
S_10,F8,theta_4_8Hz,4,4.633697681233263,0.0700590922260667
S_10,F8,alpha_8_13Hz,4,0.8870189487509481,0.014293409581957184
S_10,F8,beta_13_30Hz,4,13.150524486714678,0.21763527384197395
S_10,Fp2,delta_1_4Hz,4,105.16991804045914,0.4319944402093856
S_10,Fp2,theta_4_8Hz,4,23.84654191465374,0.07260267190604193
S_10,Fp2,alpha_8_13Hz,4,2.7257943671245886,0.023540937651629693
S_10,Fp2,beta_13_30Hz,4,7.053270980395956,0.15761140520877412
S_11,Fp1,delta_1_4Hz,4,149.80330532833963,0.42963782044788745
S_11,Fp1,theta_4_8Hz,4,31.002602990410715,0.11214286296721726
S_11,Fp1,alpha_8_13Hz,4,2.7076629882264385,0.01697364092899185
S_11,Fp1,beta_13_30Hz,4,9.882415836753774,0.11118180113288657
S_11,F3,delta_1_4Hz,4,11.948048810397724,0.3075048490776724
S_11,F3,theta_4_8Hz,4,3.297327680936516,0.11925144064614325
S_11,F3,alpha_8_13Hz,4,0.707948944129563,0.025504955414733615
S_11,F3,beta_13_30Hz,4,6.389212852365252,0.22330292950193004
S_11,F7,delta_1_4Hz,4,30.10380850515405,0.37354590827616035
S_11,F7,theta_4_8Hz,4,6.478058883720329,0.11679658559218914
S_11,F7,alpha_8_13Hz,4,1.7787757025331057,0.03139000015142264
S_11,F7,beta_13_30Hz,4,10.537401219699364,0.13771588379488572
S_11,FT9,delta_1_4Hz,4,8.74101510473527,0.26100544157917066
S_11,FT9,theta_4_8Hz,4,3.164803439406274,0.11564371029542425
S_11,FT9,alpha_8_13Hz,4,1.2934009523520869,0.05253966770401676
S_11,FT9,beta_13_30Hz,4,7.443615625722048,0.24386245192236738
S_11,FC5,delta_1_4Hz,4,3.233815444279396,0.18548577748378003
S_11,FC5,theta_4_8Hz,4,2.077065204347044,0.13631662687623605
S_11,FC5,alpha_8_13Hz,4,0.5445001149215222,0.03659413993338078
S_11,FC5,beta_13_30Hz,4,5.322415276549663,0.3027699219442833
S_11,FC1,delta_1_4Hz,4,2.380681734354431,0.20959079077998158
S_11,FC1,theta_4_8Hz,4,1.1518773069467771,0.10595090216705283
S_11,FC1,alpha_8_13Hz,4,0.45937523396684704,0.051373867707463855
S_11,FC1,beta_13_30Hz,4,3.1076082840581005,0.3258671091677956
S_11,C3,delta_1_4Hz,4,1.8212211860897387,0.2088618611859796
S_11,C3,theta_4_8Hz,4,1.1025583496645965,0.12347921983524501
S_11,C3,alpha_8_13Hz,4,0.5022611182627202,0.05002014675192051
