event,channel,n_epochs,peak_amplitude_uv,peak_latency_ms,mean_amplitude_0_800ms_uv
S_9,CP6,4,7.150680110458847,257.0,1.517328580376765
S_9,CP2,4,-6.829142325163029,451.0,-1.1629816376344004
S_9,Cz,4,-7.2297088229270665,127.0,-2.041588486106952
S_9,C4,4,9.881059813863537,213.0,1.7571756838677586
S_9,T8,4,9.701251409526918,247.0,1.674476813367213
S_9,FT10,4,17.314664400974785,431.0,4.877124679758756
S_9,FC6,4,9.426271819551529,48.0,2.4338957168730815
S_9,FC2,4,7.529518103635914,49.0,-0.16836616929293843
S_9,F4,4,12.248884566748163,50.0,4.6144317725405175
S_9,F8,4,22.97856398597334,508.0,6.92065759848406
S_9,Fp2,4,33.0588453598459,502.0,6.179699472391379
S_10,Fp1,4,-24.43315500805321,320.0,-8.388460319419725
S_10,F3,4,-15.569574319865607,323.0,-5.958901330470207
S_10,F7,4,-21.800128955095925,456.0,-7.917108878063767
S_10,FT9,4,-16.10337304041124,489.0,-5.882032436894031
S_10,FC5,4,-13.087498182331903,320.0,-5.003934026801337
S_10,FC1,4,-5.485200666189875,246.0,-1.9405801392064141
S_10,C3,4,-8.214207804042367,528.0,-2.391165540788038
S_10,T7,4,-11.063490959235878,483.0,-2.657515749249391
S_10,TP9,4,-10.999933234694035,547.0,0.2528422664448771
S_10,CP5,4,-7.981859498287087,70.0,-2.2661810385897296
S_10,CP1,4,5.320391451588947,188.0,0.26021319642416896
S_10,Pz,4,-6.8773759125845055,126.0,-0.48361643494959283
S_10,P3,4,9.64851294897821,380.0,2.245042803597499
S_10,P7,4,11.868571731054598,137.0,1.1576283078304674
S_10,O1,4,14.937474849968224,109.0,2.253352873266315
S_10,Oz,4,12.179133647775023,313.0,2.2985779124415617
S_10,O2,4,17.245370794976722,242.0,2.0248930611223845
S_10,P4,4,10.67185597818567,317.0,1.5109745782308088
S_10,P8,4,11.301119290118736,316.0,3.096688651737948
S_10,TP10,4,15.974056478849517,149.0,3.5235924001628405
S_10,CP6,4,-9.018049985316628,585.0,2.347326147019891
S_10,CP2,4,-6.901954091694212,592.0,0.44114357437961893
S_10,Cz,4,-5.666018509681548,541.0,-0.9553045163141143
S_10,C4,4,7.809291370833881,328.0,1.585756903473261
S_10,T8,4,9.239406344750485,185.0,1.6758245576921864
S_10,FT10,4,17.707931553309823,439.0,5.395357539462877
S_10,FC6,4,12.58797517690301,489.0,2.384984134383287
S_10,FC2,4,6.687349182535677,499.0,0.7585660544832378
S_10,F4,4,13.699201430304562,505.0,2.7191603019767068
